iso3,year_id,indicator_code,value,obs_status,loaded_at
ATG,2017,NY.GDP.PCAP.CD,16965.728827,,2026-04-20 18:33:21
ATG,2016,NY.GDP.PCAP.CD,16556.85518,,2026-04-20 18:33:21
ATG,2015,NY.GDP.PCAP.CD,16077.634077,,2026-04-20 18:33:21
ATG,2014,NY.GDP.PCAP.CD,15532.106206,,2026-04-20 18:33:21
ARG,2023,NY.GDP.PCAP.CD,14261.846567,,2026-04-20 18:33:21
ARG,2022,NY.GDP.PCAP.CD,13962.189409,,2026-04-20 18:33:21
ARG,2021,NY.GDP.PCAP.CD,10738.017922,,2026-04-20 18:33:21
ARG,2020,NY.GDP.PCAP.CD,8535.59938,,2026-04-20 18:33:21
ARG,2019,NY.GDP.PCAP.CD,9955.974787,,2026-04-20 18:33:21
ARG,2018,NY.GDP.PCAP.CD,11752.799892,,2026-04-20 18:33:21
ARG,2017,NY.GDP.PCAP.CD,14532.500931,,2026-04-20 18:33:21
ARG,2016,NY.GDP.PCAP.CD,12699.962314,,2026-04-20 18:33:21
ARG,2015,NY.GDP.PCAP.CD,13679.626498,,2026-04-20 18:33:21
ARG,2014,NY.GDP.PCAP.CD,12233.144412,,2026-04-20 18:33:21
ARM,2023,NY.GDP.PCAP.CD,8159.08721,,2026-04-20 18:33:21
ARM,2022,NY.GDP.PCAP.CD,6571.974455,,2026-04-20 18:33:21
ARM,2021,NY.GDP.PCAP.CD,4685.179971,,2026-04-20 18:33:21
ARM,2020,NY.GDP.PCAP.CD,4268.680933,,2026-04-20 18:33:21
ARM,2019,NY.GDP.PCAP.CD,4597.228874,,2026-04-20 18:33:21
ARM,2018,NY.GDP.PCAP.CD,4196.005623,,2026-04-20 18:33:21
ARM,2017,NY.GDP.PCAP.CD,3869.053739,,2026-04-20 18:33:21
ARM,2016,NY.GDP.PCAP.CD,3524.424769,,2026-04-20 18:33:21
ARM,2015,NY.GDP.PCAP.CD,3512.393503,,2026-04-20 18:33:21
ARM,2014,NY.GDP.PCAP.CD,3852.118006,,2026-04-20 18:33:21
ABW,2023,NY.GDP.PCAP.CD,35718.753119,,2026-04-20 18:33:21
ABW,2022,NY.GDP.PCAP.CD,30975.998912,,2026-04-20 18:33:21
ABW,2021,NY.GDP.PCAP.CD,26749.329609,,2026-04-20 18:33:21
ABW,2020,NY.GDP.PCAP.CD,22759.807175,,2026-04-20 18:33:21
ABW,2019,NY.GDP.PCAP.CD,30645.890602,,2026-04-20 18:33:21
ABW,2018,NY.GDP.PCAP.CD,30082.158423,,2026-04-20 18:33:21
ABW,2017,NY.GDP.PCAP.CD,28440.041688,,2026-04-20 18:33:21
ABW,2016,NY.GDP.PCAP.CD,27441.550214,,2026-04-20 18:33:21
ABW,2015,NY.GDP.PCAP.CD,27458.220154,,2026-04-20 18:33:21
ABW,2014,NY.GDP.PCAP.CD,26129.839062,,2026-04-20 18:33:21
AUS,2023,NY.GDP.PCAP.CD,65058.377315,,2026-04-20 18:33:21
AUS,2022,NY.GDP.PCAP.CD,65169.519112,,2026-04-20 18:33:21
AUS,2021,NY.GDP.PCAP.CD,60758.90444,,2026-04-20 18:33:21
AUS,2020,NY.GDP.PCAP.CD,51983.452367,,2026-04-20 18:33:21
AUS,2019,NY.GDP.PCAP.CD,55194.75851,,2026-04-20 18:33:21
AUS,2018,NY.GDP.PCAP.CD,57410.173735,,2026-04-20 18:33:21
AUS,2017,NY.GDP.PCAP.CD,54117.547719,,2026-04-20 18:33:21
AUS,2016,NY.GDP.PCAP.CD,50084.444061,,2026-04-20 18:33:21
AUS,2015,NY.GDP.PCAP.CD,56970.361303,,2026-04-20 18:33:21
AUS,2014,NY.GDP.PCAP.CD,62817.206175,,2026-04-20 18:33:21
AUT,2023,NY.GDP.PCAP.CD,56579.504175,,2026-04-20 18:33:21
AUT,2022,NY.GDP.PCAP.CD,52336.772522,,2026-04-20 18:33:21
AUT,2021,NY.GDP.PCAP.CD,53648.643798,,2026-04-20 18:33:21
AUT,2020,NY.GDP.PCAP.CD,48716.40989,,2026-04-20 18:33:21
AUT,2019,NY.GDP.PCAP.CD,49885.994736,,2026-04-20 18:33:21
AUT,2018,NY.GDP.PCAP.CD,51194.074984,,2026-04-20 18:33:21
AUT,2017,NY.GDP.PCAP.CD,47163.742578,,2026-04-20 18:33:21
AUT,2016,NY.GDP.PCAP.CD,45061.499392,,2026-04-20 18:33:21
AUT,2015,NY.GDP.PCAP.CD,43915.228021,,2026-04-20 18:33:21
AUT,2014,NY.GDP.PCAP.CD,51314.972262,,2026-04-20 18:33:21
AZE,2023,NY.GDP.PCAP.CD,7133.02838,,2026-04-20 18:33:21
AZE,2022,NY.GDP.PCAP.CD,7770.594223,,2026-04-20 18:33:21
AZE,2021,NY.GDP.PCAP.CD,5408.045352,,2026-04-20 18:33:21
AZE,2020,NY.GDP.PCAP.CD,4229.910649,,2026-04-20 18:33:21
AZE,2019,NY.GDP.PCAP.CD,4805.753718,,2026-04-20 18:33:21
AZE,2018,NY.GDP.PCAP.CD,4739.794312,,2026-04-20 18:33:21
AZE,2017,NY.GDP.PCAP.CD,4147.198142,,2026-04-20 18:33:21
AZE,2016,NY.GDP.PCAP.CD,3880.685228,,2026-04-20 18:33:21
