iso2;year_id;anchor_term;interest_raw
CL;2019;amazon;854.0
CL;2020;amazon;2253.0
CL;2021;amazon;1811.0
CL;2022;amazon;1448.0
CL;2023;amazon;1275.0
CM;2019;amazon;4157.0
CM;2020;amazon;3760.0
CM;2021;amazon;3196.0
CM;2022;amazon;3484.0
CM;2023;amazon;3402.0
CN;2019;amazon;3244.0
CN;2020;amazon;3488.0
CN;2021;amazon;3425.0
CN;2022;amazon;3202.0
CN;2023;amazon;3050.0
CO;2019;amazon;2193.0
CO;2020;amazon;3746.0
CO;2021;amazon;3593.0
CO;2022;amazon;3446.0
CO;2023;amazon;3786.0
CR;2019;amazon;3486.0
CR;2020;amazon;3680.0
CR;2021;amazon;3497.0
CR;2022;amazon;3576.0
CR;2023;amazon;3994.0
CU;2019;amazon;4257.0
CU;2020;amazon;3294.0
CU;2021;amazon;2755.0
CU;2022;amazon;3171.0
CU;2023;amazon;3024.0
CV;2019;amazon;2948.0
CV;2020;amazon;1762.0
CV;2021;amazon;2178.0
CV;2022;amazon;2755.0
CV;2023;amazon;3020.0
CW;2019;amazon;3142.0
CW;2020;amazon;3516.0
CW;2021;amazon;3111.0
CW;2022;amazon;2979.0
CW;2023;amazon;3410.0
CY;2019;amazon;2849.0
CY;2020;amazon;2906.0
CY;2021;amazon;2495.0
CY;2022;amazon;2373.0
CY;2023;amazon;2213.0
CZ;2019;amazon;1010.0
CZ;2020;amazon;970.0
CZ;2021;amazon;877.0
CZ;2022;amazon;1046.0
CZ;2023;amazon;1084.0
DE;2019;amazon;2763.0
DE;2020;amazon;3139.0
DE;2021;amazon;2781.0
DE;2022;amazon;2592.0
DE;2023;amazon;2565.0
DJ;2019;amazon;3262.0
DJ;2020;amazon;2583.0
DJ;2021;amazon;2472.0
DJ;2022;amazon;2116.0
DJ;2023;amazon;2282.0
DK;2019;amazon;1404.0
DK;2020;amazon;1497.0
DK;2021;amazon;1271.0
DK;2022;amazon;1505.0
DK;2023;amazon;1573.0
DM;2019;amazon;3677.0
DM;2020;amazon;3215.0
DM;2021;amazon;3067.0
DM;2022;amazon;2644.0
DM;2023;amazon;3219.0
DO;2019;amazon;3639.0
DO;2020;amazon;3819.0
DO;2021;amazon;3193.0
DO;2022;amazon;3122.0
DO;2023;amazon;3312.0
DZ;2019;amazon;3700.0
DZ;2020;amazon;3852.0
DZ;2021;amazon;3284.0
DZ;2022;amazon;3657.0
DZ;2023;amazon;3501.0
EC;2019;amazon;3416.0
EC;2020;amazon;3038.0
EC;2021;amazon;3149.0
EC;2022;amazon;3238.0
EC;2023;amazon;3593.0
EE;2019;amazon;3521.0
EE;2020;amazon;3575.0
EE;2021;amazon;3273.0
EE;2022;amazon;3935.0
EE;2023;amazon;4185.0
EG;2019;amazon;1688.0
EG;2020;amazon;1366.0
EG;2021;amazon;1793.0
EG;2022;amazon;3584.0
EG;2023;amazon;3671.0
ER;2019;amazon;0.0
ER;2020;amazon;64.0
ER;2021;amazon;0.0
ER;2022;amazon;0.0
ER;2023;amazon;24.0
ES;2019;amazon;2880.0
ES;2020;amazon;3862.0
ES;2021;amazon;2937.0
ES;2022;amazon;2756.0
ES;2023;amazon;2588.0
ET;2019;amazon;2032.0
ET;2020;amazon;2266.0
ET;2021;amazon;2419.0
ET;2022;amazon;2756.0
ET;2023;amazon;2554.0
FI;2019;amazon;1417.0
FI;2020;amazon;1456.0
FI;2021;amazon;1241.0
FI;2022;amazon;1482.0
FI;2023;amazon;1472.0
FJ;2019;amazon;2257.0
FJ;2020;amazon;2008.0
FJ;2021;amazon;2545.0
FJ;2022;amazon;2760.0
FJ;2023;amazon;2947.0
FM;2019;amazon;278.0
FM;2020;amazon;222.0
FM;2021;amazon;207.0
FM;2022;amazon;194.0
FM;2023;amazon;145.0
FO;2019;amazon;208.0
FO;2020;amazon;365.0
FO;2021;amazon;215.0
FO;2022;amazon;109.0
FO;2023;amazon;257.0
FR;2019;amazon;2679.0
FR;2020;amazon;3277.0
FR;2021;amazon;3087.0
FR;2022;amazon;3174.0
FR;2023;amazon;3303.0
GA;2019;amazon;3181.0
GA;2020;amazon;3373.0
GA;2021;amazon;2856.0
GA;2022;amazon;2846.0
GA;2023;amazon;2903.0
GB;2019;amazon;2932.0
GB;2020;amazon;3762.0
GB;2021;amazon;3379.0
GB;2022;amazon;3086.0
GB;2023;amazon;3043.0
GD;2019;amazon;3672.0
GD;2020;amazon;3385.0
GD;2021;amazon;3096.0
GD;2022;amazon;3074.0
GD;2023;amazon;3550.0
GE;2019;amazon;2329.0
GE;2020;amazon;2050.0
GE;2021;amazon;1761.0
GE;2022;amazon;1868.0
GE;2023;amazon;1840.0
GH;2019;amazon;3220.0
GH;2020;amazon;2946.0
GH;2021;amazon;2666.0
GH;2022;amazon;2887.0
GH;2023;amazon;3088.0
GI;2019;amazon;2513.0
GI;2020;amazon;2961.0
GI;2021;amazon;2708.0
GI;2022;amazon;2613.0
GI;2023;amazon;2919.0
GL;2019;amazon;0.0
GL;2020;amazon;74.0
GL;2021;amazon;100.0
GL;2022;amazon;123.0
GL;2023;amazon;194.0
GM;2019;amazon;2023.0
GM;2020;amazon;2316.0
GM;2021;amazon;2312.0
GM;2022;amazon;2566.0
GM;2023;amazon;2595.0
GN;2019;amazon;1556.0
GN;2020;amazon;2012.0
GN;2021;amazon;2169.0
GN;2022;amazon;2780.0
GN;2023;amazon;3310.0
GQ;2019;amazon;765.0
GQ;2020;amazon;748.0
GQ;2021;amazon;1100.0
GQ;2022;amazon;802.0
GQ;2023;amazon;977.0
GR;2019;amazon;2654.0
GR;2020;amazon;2497.0
GR;2021;amazon;2238.0
GR;2022;amazon;2542.0
GR;2023;amazon;2408.0
GT;2019;amazon;3081.0
GT;2020;amazon;3374.0
GT;2021;amazon;2920.0
GT;2022;amazon;2932.0
GT;2023;amazon;3016.0
GU;2019;amazon;2738.0
GU;2020;amazon;3679.0
GU;2021;amazon;3231.0
GU;2022;amazon;3111.0
GU;2023;amazon;3233.0
GW;2019;amazon;157.0
GW;2020;amazon;52.0
GW;2021;amazon;0.0
GW;2022;amazon;0.0
GW;2023;amazon;42.0
GY;2019;amazon;3393.0
GY;2020;amazon;2897.0
GY;2021;amazon;2748.0
GY;2022;amazon;2641.0
GY;2023;amazon;2785.0
HK;2019;amazon;847.0
HK;2020;amazon;1163.0
HK;2021;amazon;787.0
HK;2022;amazon;892.0
HK;2023;amazon;773.0
HN;2019;amazon;3197.0
HN;2020;amazon;3689.0
HN;2021;amazon;3482.0
HN;2022;amazon;3455.0
HN;2023;amazon;3783.0
HR;2019;amazon;2273.0
HR;2020;amazon;1969.0
HR;2021;amazon;1858.0
HR;2022;amazon;2202.0
HR;2023;amazon;2413.0
HT;2019;amazon;3693.0
HT;2020;amazon;3523.0
HT;2021;amazon;2681.0
HT;2022;amazon;2242.0
HT;2023;amazon;1780.0
HU;2019;amazon;1223.0
HU;2020;amazon;1137.0
HU;2021;amazon;1067.0
HU;2022;amazon;1411.0
HU;2023;amazon;1499.0
ID;2019;amazon;2507.0
ID;2020;amazon;1968.0
ID;2021;amazon;1776.0
ID;2022;amazon;1547.0
ID;2023;amazon;1333.0
IE;2019;amazon;2044.0
IE;2020;amazon;3104.0
IE;2021;amazon;2555.0
IE;2022;amazon;2432.0
IE;2023;amazon;2644.0
IL;2019;amazon;1888.0
IL;2020;amazon;1730.0
IL;2021;amazon;1510.0
IL;2022;amazon;1910.0
IL;2023;amazon;1756.0
IM;2019;amazon;3069.0
IM;2020;amazon;3510.0
IM;2021;amazon;2903.0
IM;2022;amazon;2444.0
IM;2023;amazon;2389.0
IN;2019;amazon;2446.0
IN;2020;amazon;3018.0
IN;2021;amazon;2540.0
IN;2022;amazon;2458.0
IN;2023;amazon;2395.0
IQ;2019;amazon;3457.0
IQ;2020;amazon;2920.0
IQ;2021;amazon;2340.0
IQ;2022;amazon;2320.0
IQ;2023;amazon;2217.0
IR;2019;amazon;2473.0
IR;2020;amazon;1960.0
IR;2021;amazon;1861.0
IR;2022;amazon;2212.0
IR;2023;amazon;2177.0
IS;2019;amazon;2543.0
IS;2020;amazon;2424.0
IS;2021;amazon;2210.0
IS;2022;amazon;2450.0
IS;2023;amazon;2481.0
IT;2019;amazon;2485.0
IT;2020;amazon;3213.0
IT;2021;amazon;2571.0
IT;2022;amazon;2587.0
IT;2023;amazon;2470.0
JM;2019;amazon;3588.0
JM;2020;amazon;3295.0
JM;2021;amazon;3262.0
JM;2022;amazon;3435.0
